,LOAN_ID,TRANSFER_TS
12,133291,2015-03-16
48,149711,2015-03-30
60,152141,2015-01-22
66,162641,2015-03-25
95,182261,2015-03-21
106,193831,2015-04-15
162,528911,2015-03-10
179,1518801,2015-01-01
188,1522221,2015-01-03
191,1536991,2015-01-04
203,1537191,2015-01-02
215,1537391,2015-01-02
227,1537661,2015-01-04
239,1538211,2015-01-04
251,1540111,2015-01-04
262,1541631,2015-01-04
274,1541641,2015-01-04
278,1541761,2015-01-04
290,1542581,2015-01-04
302,1542681,2015-01-04
309,1542821,2015-01-04
316,1546771,2015-01-04
326,1547751,2015-01-04
338,1548231,2015-01-04
346,1548521,2015-01-07
358,1549861,2015-01-14
364,1549891,2015-01-02
369,1550751,2015-01-05
379,1551201,2015-01-05
387,1551311,2015-01-04
399,1551331,2015-01-04
411,1551871,2015-01-05
423,1551961,2015-01-06
430,1553151,2015-01-07
442,1553501,2015-01-03
447,1554311,2015-01-04
453,1555121,2015-01-07
457,1557141,2015-01-04
467,1557211,2015-01-05
473,1557241,2015-01-07
485,1558081,2015-01-07
495,1558481,2015-01-07
505,1558971,2015-01-06
509,1559191,2015-01-07
516,1559261,2015-01-07
528,1559401,2015-01-07
540,1560101,2015-01-07
546,1560601,2015-01-07
558,1561691,2015-01-04
561,1563891,2015-01-02
573,1565761,2015-01-03
578,1568981,2015-01-07
590,1569321,2015-01-09
602,1569871,2015-01-02
614,1570471,2015-01-05
621,1571061,2015-01-04
633,1572791,2015-01-07
638,1572871,2015-01-01
641,1572971,2015-01-07
647,1573151,2015-01-01
659,1573191,2015-01-07
671,1573441,2015-01-07
683,1573751,2015-01-10
695,1574051,2015-01-08
707,1574701,2015-01-07
719,1576841,2015-01-05
726,1578391,2015-01-07
735,1578401,2015-01-04
741,1578721,2015-01-07
752,1578731,2015-01-07
758,1579131,2015-01-01
765,1579171,2015-01-07
777,1579591,2015-01-04
787,1580061,2015-01-03
799,1580591,2015-01-05
802,1580631,2015-01-01
814,1580881,2015-01-05
821,1581351,2015-01-04
828,1581361,2015-01-07
834,1581371,2015-01-07
846,1582411,2015-01-06
853,1582541,2015-01-07
865,1582581,2015-01-06
866,1583011,2015-01-01
878,1583681,2015-01-05
881,1584961,2015-01-08
893,1585151,2015-01-05
905,1585561,2015-01-07
912,1585971,2015-01-02
918,1586211,2015-01-07
922,1586381,2015-01-04
934,1586561,2015-01-08
938,1586721,2015-01-05
944,1586811,2015-01-04
945,1587191,2015-01-08
950,1587941,2015-01-05
953,1588621,2015-01-09
963,1589451,2015-01-07
975,1590171,2015-01-04
976,1590361,2015-01-07
983,1591511,2015-01-04
989,1592201,2015-01-04
995,1592951,2015-01-05
1007,1594211,2015-01-05
1009,1594731,2015-01-16
1015,1594791,2015-01-05
1021,1594971,2015-01-05
1026,1595141,2015-01-09
1033,1595521,2015-01-05
1039,1595641,2015-01-11
1042,1595971,2015-01-05
1049,1595991,2015-01-07
1056,1596281,2015-01-05
1061,1597201,2015-01-08
1073,1598531,2015-01-06
1074,1599181,2015-01-09
1080,1599611,2015-01-04
1081,1600131,2015-01-04
1087,1600291,2015-01-07
1090,1601641,2015-01-06
1102,1602331,2015-01-08
1112,1602611,2015-01-09
1118,1603021,2015-01-12
1125,1603711,2015-01-07
1132,1603911,2015-01-05
1144,1604901,2015-01-05
1156,1605291,2015-01-05
1157,1605381,2015-01-08
1163,1605561,2015-01-12
1175,1606181,2015-01-23
1181,1606291,2015-01-21
1189,1606911,2015-01-05
1195,1607241,2015-01-09
1201,1607591,2015-01-13
1213,1607701,2015-01-05
1219,1607771,2015-01-14
1229,1607951,2015-01-09
1234,1607961,2015-01-05
1242,1607971,2015-01-05
1248,1608011,2015-01-14
1252,1608081,2015-01-04
1262,1608861,2015-01-09
1268,1609691,2015-01-07
1269,1610851,2015-01-08
1275,1611961,2015-01-05
1276,1612081,2015-01-06
1277,1613111,2015-01-05
1285,1613591,2015-01-08
1288,1613631,2015-01-14
1294,1614041,2015-01-07
1295,1614811,2015-01-07
1301,1615261,2015-01-06
1306,1615431,2015-01-20
1318,1615701,2015-01-05
1330,1615871,2015-01-13
1337,1615891,2015-01-21
1349,1616241,2015-01-06
1350,1616741,2015-01-10
1355,1618201,2015-01-06
1367,1621101,2015-01-08
1371,1621581,2015-01-06
1376,1621661,2015-01-07
1388,1622351,2015-01-09
1392,1622451,2015-01-07
1404,1622711,2015-01-06
1405,1622901,2015-01-09
1411,1623181,2015-01-09
1417,1623301,2015-01-06
1429,1623481,2015-01-13
1441,1624171,2015-01-08
1447,1624681,2015-01-08
1454,1624971,2015-01-21
1466,1625901,2015-01-07
1470,1628371,2015-01-08
1471,1628391,2015-01-19
1477,1628561,2015-01-14
1489,1628721,2015-01-12
1492,1628811,2015-01-13
1504,1629111,2015-01-07
1510,1629631,2015-01-09
1522,1629951,2015-01-16
1528,1630111,2015-01-09
1534,1630491,2015-01-09
1538,1630591,2015-01-09
1544,1630811,2015-01-12
1547,1631401,2015-01-21
1553,1631491,2015-01-08
1559,1631921,2015-01-12
1562,1631951,2015-01-21
1574,1631971,2015-01-20
1580,1631991,2015-01-15
1587,1632221,2015-01-12
1592,1633051,2015-01-09
1604,1633181,2015-01-08
1607,1633191,2015-01-09
1608,1633201,2015-01-11
1620,1634121,2015-01-20
1628,1635701,2015-01-22
1640,1636021,2015-01-22
1652,1636071,2015-01-15
1664,1636111,2015-01-08
1676,1636121,2015-01-14
1682,1637181,2015-01-16
1688,1637701,2015-01-10
1700,1637861,2015-01-09
1712,1638261,2015-01-12
1718,1638771,2015-01-14
1724,1639111,2015-01-09
1730,1639571,2015-01-14
1737,1642141,2015-01-09
1749,1642221,2015-01-10
1761,1642311,2015-01-09
1767,1642641,2015-01-14
1773,1642991,2015-01-13
1779,1643271,2015-01-10
1782,1643381,2015-01-16
1785,1643691,2015-01-23
1791,1643861,2015-01-09
1801,1643921,2015-01-22
1813,1644011,2015-01-12
1819,1644191,2015-01-22
1831,1644511,2015-01-09
1843,1644671,2015-01-17
1846,1645521,2015-01-13
1858,1646331,2015-01-16
1862,1646341,2015-01-12
1863,1647421,2015-01-12
1864,1647461,2015-01-12
1871,1648461,2015-01-22
